date,open,high,low,close,volume,parkinson_volatility
2019-08-15,34250.0,35400.0,34250.0,35400.0,1272570,0.0198336871773322
2019-08-16,35400.0,35400.0,35400.0,35400.0,0,0.0
2019-08-19,35400.0,35400.0,35400.0,35400.0,0,0.0
2019-08-20,35400.0,35400.0,35400.0,35400.0,0,0.0
2019-08-21,35500.0,36300.0,35500.0,35900.0,2251310,0.0133835333387
2019-08-22,36200.0,36250.0,35750.0,35750.0,1195690,0.0083412619271628
2019-08-23,35750.0,35800.0,34900.0,35050.0,2330730,0.0152909273800481
2019-08-26,34700.0,35050.0,34550.0,34900.0,1280630,0.0086289013803796
2019-08-27,35000.0,35200.0,34500.0,34500.0,1289980,0.0120633279171956
2019-08-28,34550.0,34950.0,34550.0,34700.0,783780,0.0069130110576974
2019-08-29,34700.0,34700.0,34100.0,34350.0,1254640,0.010475170294888
2019-08-30,34350.0,34350.0,34350.0,34350.0,0,0.0
2019-09-02,34350.0,34350.0,34350.0,34350.0,0,0.0
2019-09-03,34350.0,34350.0,34350.0,34350.0,0,0.0
2019-09-04,34250.0,34300.0,33850.0,34000.0,1354920,0.007931224352506
2019-09-05,34000.0,34450.0,33900.0,34100.0,995180,0.009665421857963
2019-09-06,34100.0,34450.0,33950.0,34100.0,1372420,0.0087802909617139
2019-09-09,34300.0,34300.0,34000.0,34000.0,473980,0.00527582781838
2019-09-10,34000.0,34150.0,33700.0,33700.0,1524460,0.007966293430312
2019-09-11,33700.0,33950.0,33550.0,33950.0,965520,0.0071178457413944
2019-09-12,34200.0,34300.0,33900.0,33950.0,917120,0.0070447869895153
2019-09-13,34100.0,34200.0,33750.0,33950.0,1552420,0.0079545693294538
2019-09-16,34250.0,34300.0,33950.0,34000.0,1692510,0.0061596560932663
2019-09-17,34000.0,34700.0,34000.0,34200.0,3170730,0.0122389342774248
2019-09-18,34200.0,34600.0,33950.0,33950.0,2398990,0.0113895399802074
2019-09-19,34000.0,34200.0,33950.0,34100.0,1320480,0.0044061914771285
2019-09-20,34200.0,34400.0,33950.0,33950.0,3228690,0.0079080160016994
2019-09-23,34200.0,34200.0,33650.0,33700.0,2513680,0.0097366513622922
2019-09-24,33800.0,34150.0,33600.0,33800.0,1430510,0.0097510234344045
2019-09-25,33800.0,34000.0,33500.0,33500.0,1712360,0.008897365762313
2019-09-26,33600.0,33650.0,32750.0,32750.0,4767290,0.0162812707095443
2019-09-27,32800.0,33300.0,32500.0,33250.0,5894250,0.0146040315703088
2019-09-30,33250.0,33550.0,33050.0,33100.0,2156270,0.0090176049227065
